HomeTeam,AwayTeam,Year,HomeGoals,AwayGoals,TotalGoals
Qatar,Ecuador,2022,0,2,2
Senegal,Netherlands,2022,0,2,2
Qatar,Senegal,2022,1,3,4
Netherlands,Ecuador,2022,1,1,2
Ecuador,Senegal,2022,1,2,3
Netherlands,Qatar,2022,2,0,2
England,Iran,2022,6,2,8
United States,Wales,2022,1,1,2
Wales,Iran,2022,0,2,2
England,United States,2022,0,0,0
Wales,England,2022,0,3,3
Iran,United States,2022,0,1,1
Argentina,Saudi Arabia,2022,1,2,3
Mexico,Poland,2022,0,0,0
Poland,Saudi Arabia,2022,2,0,2
Argentina,Mexico,2022,2,0,2
Poland,Argentina,2022,39,0,39
Saudi Arabia,Mexico,2022,40,0,40
Denmark,Tunisia,2022,0,0,0
France,Australia,2022,4,1,5
Tunisia,Australia,2022,0,1,1
France,Denmark,2022,2,1,3
Australia,Denmark,2022,37,0,37
Tunisia,France,2022,38,0,38
Germany,Japan,2022,1,2,3
Spain,Costa Rica,2022,7,0,7
Japan,Costa Rica,2022,0,1,1
Spain,Germany,2022,1,1,2
Japan,Spain,2022,43,0,43
Costa Rica,Germany,2022,44,0,44
Morocco,Croatia,2022,0,0,0
Belgium,Canada,2022,1,0,1
Belgium,Morocco,2022,0,2,2
Croatia,Canada,2022,4,1,5
Croatia,Belgium,2022,41,0,41
Canada,Morocco,2022,42,0,42
Switzerland,Cameroon,2022,1,0,1
Brazil,Serbia,2022,2,0,2
Cameroon,Serbia,2022,3,3,6
Brazil,Switzerland,2022,1,0,1
Serbia,Switzerland,2022,47,0,47
Cameroon,Brazil,2022,48,0,48
Uruguay,South Korea,2022,0,0,0
Portugal,Ghana,2022,3,2,5
South Korea,Ghana,2022,2,3,5
Portugal,Uruguay,2022,2,0,2
Ghana,Uruguay,2022,45,0,45
South Korea,Portugal,2022,46,0,46
Netherlands,United States,2022,49,0,49
Winners Group C,Runners-up Group D,2022,50,0,50
Winners Group D,Runners-up Group C,2022,52,0,52
England,Senegal,2022,51,0,51
Winners Group E,Runners-up Group F,2022,53,0,53
Winners Group G,Runners-up Group H,2022,54,0,54
Winners Group F,Runners-up Group E,2022,55,0,55
Winners Group H,Runners-up Group G,2022,56,0,56
Winners Match 53,Winners Match 54,2022,58,0,58
Winners Match 49,Winners Match 50,2022,57,0,57
Winners Match 55,Winners Match 56,2022,60,0,60
Winners Match 51,Winners Match 52,2022,59,0,59
Winners Match 57,Winners Match 58,2022,61,0,61
Winners Match 59,Winners Match 60,2022,62,0,62
Losers Match 61,Losers Match 62,2022,63,0,63
Winners Match 61,Winners Match 62,2022,64,0,64
